date,ticker,close,sma200,above_sma200
2025-01-01,2380.SR,8.28,7.7108,1
2025-01-01,7010.SR,40.5,39.8842,1
2025-01-01,7203.SR,1116.4,985.439,1
2025-01-02,1120.SR,65.6667,56.9753,1
2025-01-02,1150.SR,24.75,25.6163,0
2025-01-02,1180.SR,33.25,35.4495,0
2025-01-02,1211.SR,49.35,47.9832,1
2025-01-02,2010.SR,66.9,74.7985,0
2025-01-02,2082.SR,400.2,405.6256,0
2025-01-02,2222.SR,28.05,28.398,0
2025-01-02,2380.SR,8.24,7.712,1
2025-01-02,7010.SR,40.85,39.8893,1
2025-01-02,7203.SR,1157.4,986.622,1
2025-01-05,1120.SR,64.8667,57.0123,1
2025-01-05,1150.SR,24.9583,25.5966,0
2025-01-05,1180.SR,33.1,35.4168,0
2025-01-05,1211.SR,48.8,47.9677,1
2025-01-05,2010.SR,67.0,74.744,0
2025-01-05,2082.SR,396.4,405.9859,0
2025-01-05,2222.SR,28.05,28.382,0
2025-01-05,2380.SR,8.24,7.7134,1
2025-01-05,7010.SR,40.6,39.8935,1
2025-01-05,7203.SR,1154.2,987.572,1
2025-01-06,1120.SR,65.0667,57.054,1
2025-01-06,1150.SR,24.9167,25.5795,0
2025-01-06,1180.SR,33.45,35.3898,0
2025-01-06,1211.SR,48.1,47.9422,1
2025-01-06,2010.SR,66.4,74.689,0
2025-01-06,2082.SR,397.0,406.2094,0
2025-01-06,2222.SR,27.95,28.366,0
2025-01-06,2380.SR,8.2,7.7146,1
2025-01-06,7010.SR,40.75,39.8978,1
2025-01-06,7203.SR,1137.6,988.31,1
2025-01-07,1120.SR,64.6,57.0933,1
2025-01-07,1150.SR,24.7083,25.5604,0
2025-01-07,1180.SR,33.8,35.3655,0
2025-01-07,1211.SR,48.4,47.9152,1
2025-01-07,2010.SR,67.1,74.6375,0
2025-01-07,2082.SR,392.0,406.4329,0
2025-01-07,2222.SR,27.8,28.3495,0
2025-01-07,2380.SR,8.21,7.7157,1
2025-01-07,7010.SR,41.5,39.907,1
2025-01-07,7203.SR,1167.6,989.174,1
2025-01-08,1120.SR,63.8667,57.129,1
2025-01-08,1150.SR,24.5833,25.5403,0
2025-01-08,1180.SR,33.5,35.336,0
2025-01-08,1211.SR,47.9,47.8892,1
2025-01-08,2010.SR,66.5,74.5855,0
2025-01-08,2082.SR,401.8,406.6754,0
2025-01-08,2222.SR,28.0,28.3325,0
2025-01-08,2380.SR,8.18,7.7167,1
2025-01-08,7010.SR,40.85,39.9128,1
2025-01-08,7203.SR,1170.0,990.074,1
2025-01-09,1120.SR,63.8667,57.1677,1
2025-01-09,1150.SR,24.5833,25.5212,0
2025-01-09,1180.SR,33.5,35.3048,0
2025-01-09,1211.SR,47.9,47.8648,1
2025-01-09,2010.SR,66.5,74.534,0
2025-01-09,2082.SR,401.8,406.9219,0
2025-01-09,2222.SR,28.0,28.3165,0
2025-01-09,2380.SR,8.18,7.7178,1
2025-01-09,7010.SR,40.85,39.9182,1
2025-01-09,7203.SR,1170.0,991.012,1
2025-01-12,1120.SR,63.8667,57.1937,1
2025-01-12,1150.SR,24.9167,25.5001,0
2025-01-12,1180.SR,33.25,35.274,0
2025-01-12,1211.SR,48.0,47.8478,1
2025-01-12,2010.SR,66.7,74.4735,0
2025-01-12,2082.SR,400.0,407.1814,0
2025-01-12,2222.SR,28.0,28.3005,0
2025-01-12,2380.SR,8.15,7.7186,1
2025-01-12,7010.SR,41.0,39.925,1
2025-01-12,7203.SR,1169.0,992.087,1
2025-01-13,1120.SR,63.8667,57.219,1
2025-01-13,1150.SR,24.8333,25.4801,0
2025-01-13,1180.SR,33.25,35.239,0
2025-01-13,1211.SR,47.15,47.8225,0
2025-01-13,2010.SR,67.0,74.4205,0
2025-01-13,2082.SR,396.6,407.4528,0
2025-01-13,2222.SR,28.05,28.2848,0
2025-01-13,2380.SR,8.18,7.72,1
2025-01-13,7010.SR,41.25,39.932,1
2025-01-13,7203.SR,1174.0,993.161,1
2025-01-14,1120.SR,64.0,57.2553,1
2025-01-14,1150.SR,24.9167,25.4584,0
2025-01-14,1180.SR,33.5,35.207,0
2025-01-14,1211.SR,46.75,47.7962,0
2025-01-14,2010.SR,66.8,74.365,0
2025-01-14,2082.SR,401.2,407.7363,0
2025-01-14,2222.SR,28.1,28.271,0
2025-01-14,2380.SR,8.18,7.7212,1
2025-01-14,7010.SR,41.6,39.9427,1
2025-01-14,7203.SR,1179.6,994.275,1
2025-01-15,1120.SR,64.1333,57.2943,1
2025-01-15,1150.SR,24.6667,25.4334,0
2025-01-15,1180.SR,34.45,35.1825,0
2025-01-15,1211.SR,47.45,47.7805,0
2025-01-15,2010.SR,67.1,74.315,0
2025-01-15,2082.SR,397.8,408.0117,0
2025-01-15,2222.SR,28.1,28.2572,0
2025-01-15,2380.SR,8.2,7.7238,1
2025-01-15,7010.SR,41.9,39.9535,1
2025-01-15,7203.SR,1182.2,995.411,1
2025-01-16,1120.SR,64.4667,57.3357,1
2025-01-16,1150.SR,24.875,25.4124,0
2025-01-16,1180.SR,34.9,35.1625,0
2025-01-16,1211.SR,48.2,47.7715,1
2025-01-16,2010.SR,67.6,74.268,0
2025-01-16,2082.SR,398.4,408.2851,0
