date,ticker,close,avg_traded_value_20d,liquid,rs_63d,rs_126d,volume_expansion,distance_52w_high,score,rank
2020-07-09,1150.SR,9.8133,186478171.46,True,-0.139939,-0.200871,0.856575,-0.253741,0.385714,6
2020-07-09,2380.SR,9.5261,22372247.07,True,-0.069762,-0.337227,1.632885,-0.395015,0.357143,7
2020-07-12,7010.SR,39.0,76000741.87,True,0.059783,-0.018127,0.413093,-0.137168,0.814286,1
2020-07-12,2010.SR,88.2,138276721.36,True,0.105263,-0.041304,0.381798,-0.230366,0.742857,2
2020-07-12,1120.SR,24.125,290500232.04,True,0.052726,-0.120062,0.545725,-0.19134,0.728571,3
2020-07-12,1211.SR,11.9,21352452.53,True,-0.040323,-0.181191,0.47789,-0.284568,0.485714,4
2020-07-12,1150.SR,9.8267,186518909.8,True,-0.107475,-0.220103,0.630902,-0.252722,0.442857,5
2020-07-12,1180.SR,27.75,98516557.66,True,0.010929,-0.232365,0.536896,-0.356522,0.428571,6
2020-07-12,2380.SR,9.5261,22702735.88,True,-0.105262,-0.368614,0.865321,-0.395015,0.357143,7
2020-07-13,7010.SR,38.8,74262085.67,True,0.054348,-0.023162,0.539125,-0.140071,0.842857,1
2020-07-13,2010.SR,88.2,133657957.69,True,0.113636,-0.040261,0.508271,-0.227671,0.771429,2
2020-07-13,1120.SR,23.9583,272384785.73,True,0.03978,-0.124811,0.606503,-0.196928,0.7,3
2020-07-13,1211.SR,12.0167,21659067.16,True,-0.012329,-0.173161,0.961436,-0.277552,0.571429,4
2020-07-13,1150.SR,9.8,186557902.81,True,-0.10828,-0.222222,0.823633,-0.250478,0.414286,5
2020-07-13,2380.SR,9.442,23375734.41,True,-0.086724,-0.374188,1.062238,-0.400356,0.357143,6
2020-07-13,1180.SR,27.6375,96191981.21,True,0.004087,-0.227463,0.446997,-0.353509,0.342857,7
2020-07-14,7010.SR,38.76,70636279.07,True,0.045307,-0.021212,0.721029,-0.140957,0.842857,1
2020-07-14,2010.SR,88.3,129762929.36,True,0.109296,-0.047465,0.711066,-0.215808,0.771429,2
2020-07-14,1120.SR,23.7917,269657905.63,True,0.03255,-0.133533,0.820985,-0.202512,0.7,3
2020-07-14,1211.SR,12.1333,23097695.08,True,0.0,-0.179256,1.953499,-0.269078,0.642857,4
2020-07-14,1180.SR,26.925,94782058.21,True,-0.021798,-0.247379,1.120376,-0.363475,0.442857,5
2020-07-14,1150.SR,9.7867,179613097.95,True,-0.115662,-0.232416,0.692053,-0.250061,0.3,6
2020-07-14,2380.SR,9.358,22530383.78,True,-0.102143,-0.40569,0.89441,-0.40569,0.3,7
2020-07-15,2010.SR,88.4,125274136.5,True,0.149545,-0.051502,0.368091,-0.203604,0.742857,1
2020-07-15,7010.SR,38.68,70052789.49,True,0.04315,-0.022245,0.600594,-0.14273,0.728571,2
2020-07-15,1120.SR,23.875,265088361.61,True,0.053307,-0.137049,0.686303,-0.19972,0.714286,3
2020-07-15,1211.SR,12.1833,23418549.95,True,0.048775,-0.184152,0.941812,-0.266066,0.657143,4
2020-07-15,1150.SR,9.7733,177136200.55,True,-0.102815,-0.236461,0.817884,-0.251088,0.414286,5
2020-07-15,1180.SR,27.0375,92539369.75,True,-0.005517,-0.244235,0.771033,-0.35625,0.385714,6
2020-07-15,2380.SR,9.5261,23216810.99,True,-0.034089,-0.393397,1.404106,-0.395015,0.357143,7
2020-07-16,7010.SR,38.4,46128627.33,True,0.054945,-0.020408,1.573369,-0.148936,0.866667,1
2020-07-16,2010.SR,88.2,95464907.88,True,0.143969,-0.045455,0.767847,-0.205405,0.766667,2
2020-07-16,1120.SR,23.9167,241108875.52,True,0.072897,-0.130302,0.886543,-0.19382,0.7,3
2020-07-16,1180.SR,26.925,71744590.1,True,-0.002778,-0.241015,0.965484,-0.347273,0.45,4
2020-07-16,2380.SR,9.442,23588770.53,True,-0.034383,-0.385598,1.705651,-0.400356,0.383333,5
2020-07-16,1150.SR,9.7733,169760994.25,True,-0.072152,-0.234967,0.519734,-0.251088,0.333333,6
2020-07-19,7010.SR,38.36,46213130.52,True,0.025668,-0.026396,0.794795,-0.149823,0.9,1
2020-07-19,2010.SR,87.9,91499187.72,True,0.118321,-0.052802,0.377872,-0.208108,0.766667,2
2020-07-19,1120.SR,23.875,239733604.3,True,0.057197,-0.135747,0.706562,-0.194093,0.733333,3
2020-07-19,1180.SR,27.0,71126334.54,True,-0.001387,-0.238095,0.361202,-0.345455,0.416667,4
2020-07-19,2380.SR,9.484,23570447.24,True,-0.013122,-0.371987,0.710126,-0.397688,0.35,5
2020-07-19,1150.SR,9.76,165545437.71,True,-0.046875,-0.238986,0.534175,-0.252107,0.333333,6
2020-07-20,7010.SR,38.4,49201273.74,True,0.032258,-0.02439,2.136527,-0.148936,0.866667,1
2020-07-20,2010.SR,86.6,89068462.99,True,0.110256,-0.060738,1.551411,-0.21982,0.833333,2
2020-07-20,1120.SR,23.75,238581643.86,True,0.061453,-0.138972,1.122283,-0.186875,0.666667,3
2020-07-20,2380.SR,9.1758,25541833.2,True,0.004598,-0.391832,2.280691,-0.417262,0.433333,4
2020-07-20,1180.SR,27.0,71383643.25,True,0.0,-0.237288,0.74043,-0.345455,0.366667,5
2020-07-20,1150.SR,9.68,164497038.6,True,-0.054688,-0.24375,1.297548,-0.258238,0.333333,6
2020-07-21,7010.SR,38.8,56378830.31,True,0.077778,-0.015228,2.991975,-0.140071,0.9,1
2020-07-21,2010.SR,87.5,85833287.69,True,0.146789,-0.058127,0.8434,-0.205989,0.8,2
2020-07-21,1120.SR,23.9167,237469420.05,True,0.083022,-0.135542,0.787648,-0.181168,0.666667,3
2020-07-21,1180.SR,26.925,71390196.09,True,0.027182,-0.240212,0.921941,-0.347273,0.516667,4
2020-07-21,2380.SR,9.2179,26533092.78,True,-0.007537,-0.389041,1.145983,-0.414588,0.35,5
2020-07-21,1150.SR,9.7467,165062768.11,True,-0.036887,-0.241502,0.639726,-0.253126,0.266667,6
2020-07-22,7010.SR,39.68,60169513.71,True,0.086528,0.010183,1.673005,-0.120567,0.95,1
2020-07-22,2010.SR,87.6,81793921.62,True,0.149606,-0.047826,0.65785,-0.19337,0.766667,2
2020-07-22,1120.SR,24.0,232584035.02,True,0.080677,-0.128594,0.786416,-0.162792,0.65,3
2020-07-22,1180.SR,26.925,72196459.22,True,0.022792,-0.23617,0.901318,-0.346084,0.516667,4
2020-07-22,1150.SR,9.72,162273542.07,True,-0.03444,-0.239139,0.433896,-0.255172,0.316667,5
2020-07-22,2380.SR,9.2039,27410415.8,True,-0.074641,-0.391663,1.114722,-0.415477,0.3,6
2020-07-23,7010.SR,38.84,64466321.35,True,0.071744,-0.007157,1.910954,-0.139184,0.9,1
